parent,definition,children,translation,label
chemical bond,-,covalent bond,ковалентную связь.,-1
exteroception,-,sight,"падать с такой высоты,",-1
board,a flat portable surface (usually rectangular) designed for board games,"backgammon board,cribbage board,dartboard,go board,monopoly board,Ouija,pegboard,punchboard","доска для игры в нарды, доска для криббиджа, доска для дартса,доска для игры в го, доска для игры в монополию, доска для игры в виджи,доска для игры в пеги, доска для игры",-1
correctness,the quality of conformity to social expectations,faultlessness,безупречность,-1
emotional person,a person subject to strong states of emotion,"captive,spitfire","пленник,spitfire",-1
stonework,masonry done with stone,cyclopean masonry,Циклопическая кладка,-1
pewee,small olive-colored woodland flycatchers of eastern North America,western wood pewee,вестерн-Вуд-Пьюи,-1
mongoose,agile grizzled Old World viverrine; preys on snakes and rodents,ichneumon,ихневмон,-1
credit,recognition by a college or university that a course of studies has been successfully completed; typically measured in semester hours,semester hour,за семестр,-1
Old World jay,a European jay,common European jay,обыкновенная европейская сойка,-1
mallow,any of various plants of the family Malvaceae,"abelmosk,velvetleaf,chaparral mallow,checkerbloom,tall mallow,common mallow,false mallow,glade mallow,mountain hollyhock,wild hollyhock,Indian mallow,Queensland hemp,malope,musk mallow,Virginia mallow,waxmallow","абельмоск,бархат, мальва чапараль,чекерблум,высокая мальва, мальва обыкновенная, мальва ложная, мальва глейд,холлихок горный,холлихок дикий, мальва индейская, конопля Квинсленда,малопа, мальва мускусная, мальва вирджиния,восковая",-1
electric potential,the difference in electrical charge between two points in a circuit expressed in volts,evoked potential,ANTIDROMNYE POTENTSIALY,-1
service,a company or agency that performs a public service; subject to government regulation,utility,служебная программа,-1
mallet,a sports implement with a long handle and a head like a hammer; used in sports (polo or croquet) to hit a ball,croquet mallet,крокетный молоток,-1
nongovernmental organization,-,denomination,купюра (о банкнотах); достоинство (о ценных бумагах); нарицательная стоимость банкноты; ценность,-1
test rocket,a rocket fired for test purposes,sounding rocket,- Исследовательские ракеты,-1
workhorse,a horse used for plowing and hauling and other heavy labor,"farm horse,packhorse,plow horse","фермерская лошадь, вьючнаялошадь,плужная лошадь",-1
ash,any of various deciduous pinnate-leaved ornamental or timber trees of the genus Fraxinus,"Arizona ash,black ash,blue ash,European ash,manna ash,flowering ash,flowering ash,white ash,swamp ash,Oregon ash,mountain ash,pumpkin ash","Зола аризонская, зола черная, зола голубая, зола европейская, зола манны, зола цветущая, зола цветущая, зола белая, зола болотная, зола орегонская, зола горная, зола тыквенная",-1
temperature scale,a system of measuring temperature,"Kelvin scale,Celsius scale","Шкала Кельвина, шкала Цельсия",-1
weave,-,check,проверить,-1
closed corporation,a corporation owned by a few people; shares have no public market,family business,Семейные предприятия,-1
military science,the discipline dealing with the principles of warfare,strategy,в области ИС,-1
box turtle,chiefly terrestrial turtle of North America; shell can be closed tightly,Western box turtle,Черепаха вестерн бокс,-1
opportunity,-,occasion,. .,-1
epistemology,the philosophical theory of knowledge,methodology,проекта (РКП),-1
intersection,a point where lines intersect,"metacenter,vertex","метацентр,вершина",-1
legal right,-,tenure,владение,-1
